Artist,Album,Spotify_Album_ID,Spotify_Album_URL,Release_Date,Type,Number of Tracks,Artist URL,Album Art URL
Alter Bridge,Live at the O2 Arena,5Rti4l3Kz3jhPEQT2pt1ku,https://open.spotify.com/album/5Rti4l3Kz3jhPEQT2pt1ku,2017-09-08,album,19,https://open.spotify.com/artist/4DWX7u8BV0vZIQSpJQQDWU,https://i.scdn.co/image/ab67616d0000b27366ce1cc5417c22d41319064e
Andy Williams,The Andy Williams Christmas Album,4dcJHxlOJwtyypL7sx1qch,https://open.spotify.com/album/4dcJHxlOJwtyypL7sx1qch,1963-11-24,album,12,https://open.spotify.com/artist/4sj6D0zlMOl25nprDJBiU9,https://i.scdn.co/image/ab67616d0000b27398073965947f92f1641b8356
Audioslave,Revelations,6Ys6uRTMti54CH8VEo2xEt,https://open.spotify.com/album/6Ys6uRTMti54CH8VEo2xEt,2006-08-29,album,12,https://open.spotify.com/artist/2ziB7fzrXBoh1HUPS6sVFn,https://i.scdn.co/image/ab67616d0000b2732b8ac52203215122968d4d6a
Audioslave,Out of Exile,0HQhToIjonHnJRRPN4jeJU,https://open.spotify.com/album/0HQhToIjonHnJRRPN4jeJU,2005-01-01,album,12,https://open.spotify.com/artist/2ziB7fzrXBoh1HUPS6sVFn,https://i.scdn.co/image/ab67616d0000b27307301dd5fedf5ad64cde4882
Avicii,True,2H6i2CrWgXE1HookLu8Au0,https://open.spotify.com/album/2H6i2CrWgXE1HookLu8Au0,2013-01-01,album,10,https://open.spotify.com/artist/1vCWHaC5f2uS3yhpwWbIA6,https://i.scdn.co/image/ab67616d0000b273e14f11f796cef9f9a82691a7
B.o.B,B.o.B Presents: The Adventures of Bobby Ray,7apLPYT8szV1IqTxyVSy5P,https://open.spotify.com/album/7apLPYT8szV1IqTxyVSy5P,2010-04-27,album,12,https://open.spotify.com/artist/5ndkK3dpZLKtBklKjxNQwT,https://i.scdn.co/image/ab67616d0000b273484d121f0e2d2caf87d5d10b
B.o.B,Strange Clouds,7qqCw47pAWFzhwTpVRd0zE,https://open.spotify.com/album/7qqCw47pAWFzhwTpVRd0zE,2012-04-27,album,15,https://open.spotify.com/artist/5ndkK3dpZLKtBklKjxNQwT,https://i.scdn.co/image/ab67616d0000b273a191830c8b300bc71c2faac7
Backstreet Boys,Millennium,5ySxm9hxBNss01WCL7GLyQ,https://open.spotify.com/album/5ySxm9hxBNss01WCL7GLyQ,1999-05-18,album,12,https://open.spotify.com/artist/5rSXSAkZ67PYJSvpUpkOr7,https://i.scdn.co/image/ab67616d0000b2732160c02bc56f192df0f4986b
Band of Horses,Everything All The Time,7ik4rjxOnmwnAWWzjj5ni3,https://open.spotify.com/album/7ik4rjxOnmwnAWWzjj5ni3,2006-03-21,album,10,https://open.spotify.com/artist/0OdUWJ0sBjDrqHygGUXeCF,https://i.scdn.co/image/ab67616d0000b273024bdaecebd5e9d3b6a0949e
Bastille,Doom Days,2QzbL1DICo4xZnWr8Sw4fF,https://open.spotify.com/album/2QzbL1DICo4xZnWr8Sw4fF,2019-06-14,album,11,https://open.spotify.com/artist/7EQ0qTo7fWT7DPxmxtSYEc,https://i.scdn.co/image/ab67616d0000b273a16f3f34c52cbba368ef6210
Bastille,Bad Blood,64fQ94AVziavTPdnkCS6Nj,https://open.spotify.com/album/64fQ94AVziavTPdnkCS6Nj,2013-01-01,album,15,https://open.spotify.com/artist/7EQ0qTo7fWT7DPxmxtSYEc,https://i.scdn.co/image/ab67616d0000b273258225089decfb3d5c3718d3
Bastille,All This Bad Blood,5G6oMu9zNW2acdV0lqzI3L,https://open.spotify.com/album/5G6oMu9zNW2acdV0lqzI3L,2013-01-01,album,25,https://open.spotify.com/artist/7EQ0qTo7fWT7DPxmxtSYEc,https://i.scdn.co/image/ab67616d0000b273faee7306ec2f36aeccc4bc98
Bastille,"VS. (Other People’s Heartache, Pt. III)",1YXsPGQingGkJZLA8uuQNL,https://open.spotify.com/album/1YXsPGQingGkJZLA8uuQNL,2014-12-01,album,9,https://open.spotify.com/artist/7EQ0qTo7fWT7DPxmxtSYEc,https://i.scdn.co/image/ab67616d0000b273aec5a0e1c5c8b1b57072396a
Bastille,Remixed,32xPzu88bmeZHZBsTYI0ml,https://open.spotify.com/album/32xPzu88bmeZHZBsTYI0ml,2013-01-01,album,10,https://open.spotify.com/artist/7EQ0qTo7fWT7DPxmxtSYEc,https://i.scdn.co/image/ab67616d0000b2732a48e5f88f1daa178c987e17
Bastille,Give Me The Future,2A3BFOsrRHn0VQuafW2zYs,https://open.spotify.com/album/2A3BFOsrRHn0VQuafW2zYs,2022-02-04,album,13,https://open.spotify.com/artist/7EQ0qTo7fWT7DPxmxtSYEc,https://i.scdn.co/image/ab67616d0000b273cd37ef275443533c1e47caa9
Bastille,Give Me The Future + Dreams Of The Past,2dssFgPLHm6Y1mINk3JNJ8,https://open.spotify.com/album/2dssFgPLHm6Y1mINk3JNJ8,2022-08-26,album,27,https://open.spotify.com/artist/7EQ0qTo7fWT7DPxmxtSYEc,https://i.scdn.co/image/ab67616d0000b273ff348b27d6fc52dd2d854bcb
Bastille,“&” (Ampersand),6zwfwSKAbtnCfKgzBywL2w,https://open.spotify.com/album/6zwfwSKAbtnCfKgzBywL2w,2024-10-25,album,14,https://open.spotify.com/artist/7EQ0qTo7fWT7DPxmxtSYEc,https://i.scdn.co/image/ab67616d0000b2738a73d4803cc121fda010ee50
Ben Harper and Relentless7,White Lies for Dark Times,2YzNFiJIcbftn1g5Bbx0Mg,https://open.spotify.com/album/2YzNFiJIcbftn1g5Bbx0Mg,2009-01-01,album,11,https://open.spotify.com/artist/0C6JGCMf7TAm7Io89rBnPh,https://i.scdn.co/image/ab67616d0000b27343a682042915a842221f249a
Brandon Heath,What If We,69d6G8jlDQXmnpP4aV3azk,https://open.spotify.com/album/69d6G8jlDQXmnpP4aV3azk,2008,album,11,https://open.spotify.com/artist/0W7wIkmxoGQbnZYn2z2sLj,https://i.scdn.co/image/ab67616d0000b273a11911d197f2ed4bb8ada0a7
